1170 consecutive hysterectomies indications and pathology. MacKenzie IZ and Naish C and Rees M and Manek S,15494102
Endometrioid carcinoma of the ovary a retrospective study. Tidy J and Mason WP,3207646
"Urological complications of laparoscopic hysterectomy a four-year review at KK Women's and Children's Hospital, Singapore. Siow A and Nikam YA and Ng C and Su MC",17342290
CT features of torsion of benign cystic teratoma of the ovary. Kim YH and Cho KS and Ha HK and Byun JY and Auh YH and Rhim HC and Shim JC and Cha SJ and Hur G,10589567
Successful treatment of asymptomatic endometriosis does it benefit infertile women Thomas EJ and Cooke ID,3107721
"Uterine fibroid embolization fares well against hysterectomy, study says. Levenson D",12467267
Endovascular treatment in postpartum haemorrhage. Mansueto G and Contro A and Carbognin G and Liessi F and Zanconato G and Franchi M and Pozzi Mucelli R,22580802
Diagnosis and management of placenta accreta. Palacios-Jaraquemada JM,26498304,23127895,22881062,19477444,18815074,12193953,11435872
Endometrial endometrioid adenocarcinoma of the uterine corpus involving the cervix some cases probably represent independent primaries. Jiang L and Malpica A and Deavers MT and Guo M and Villa LL and Nuovo G and Merino MJ and Silva EG,20173500
Hormone receptor expressions and proliferation markers in postmenopausal endometrial polyps. Inceboz US and Nese N and Uyar Y and Ozcakir HT and Kurtul O and Baytur YB and Kandiloglu AR and Caglar H and Fraser IS,16141722
A study on the serum pregnancy zone protein levels in pregnant women and patients with gynecological tumors. Teng H and Zhang WY and Zhu FQ
Risk factors and etiology in gynecologic cancer. Einhorn N,1965695
Predictors of hysterectomy as a treatment for menstrual symptoms. Graham M and James EL and Keleher H,18590884
Sheehan syndrome in Costa Rica clinical experience with 60 cases. Gei-Guardia O and Soto-Herrera E and Gei-Brealey A and Chen-Ku CH,21041170
Cervical removal at hysterectomy for benign disease. Risks and benefits. Hasson HM,8263867
Transarterial embolization of the uterine arteries patient reactions and effects on uterine vasculature. Aziz A and Petrucco OM and Makinoda S and Wikholm G and Svendsen P and Brannstrom M and Janson PO,9539283
Fibroid calcification after uterine artery embolization ultrasonographic appearance and pathology. Nicholson TA and Pelage JP and Ettles DF,11287530
Progression of squamous cell carcinoma of the uterine cervix from cervical intraepithelial neoplasia infected with human papillomavirus a retrospective follow-up study by in situ hybridization and polymerase chain reaction. Konno R and Sato S and Yajima A,1316320
Outcome of in vitro fertilizationintracytoplasmic sperm injection after laparoscopic cystectomy for endometriomas. Esinler I and Bozdag G and Aybar F and Bayar U and Yarali H
Clear cell carcinoma of the ovary light and electron microscopic studies. Ohkawa K and Amasaki H and Terashima Y and Aizawa S and Ishikawa E,589565
Long term complications of vaginal hysterectomy a case control study. Cosson M and Rajabally R and Querleu D and Crepin G,12113413,11165732
Total laparoscopic radical hysterectomy using Lee-Huang portal and McCartney transvaginal tube. Lee CL and Huang KG,12386369
Gardnerella vaginalis in posthysterectomy infection. Kristiansen FV and Frost L and Korsager B and Moller BR,2311819
Safety of Trans Vaginal Mesh procedure retrospective study of 684 patients. Caquant F and Collinet P and Debodinance P and Berrocal J and Garbin O and Rosenthal C and Clave H and Villet R and Jacquetin B and Cosson M,18937698
Microwave endometrial ablation for menorrhagia caused by large submucous myomas. Kanaoka Y and Hirai K and Ishiko O,16343261
Topical use of tranexamic acid to control perioperative local bleeding in gynaecology patients with clotting disorders two cases. Sarris I and Arafa A and Konaris L and Kadir RA,17212738
Surgical treatment of intracardiac leiomyomatosis. Gan HL and Zhang JQ and Zhou QW and Kong QY and Zhao S and Bo P
The importance of the endopelvic fascia repair during vaginal hysterectomy. Borenstein R and Elchalal U and Goldchmit R and Rosenman D and Ben-Hur H and Katz Z,1448737
Overview of current surgical management of fibroids 'Organ-preserving modalities'. Elahi SM and Odejinmi F,18259894
